affinity_name,status_report,offer_number,policy_number,zipcode_link,zip4,birth_date,brand,date_offer,date_request,policy_start_date,premium,buildyear_car,buildmonth_car,wa,wa_bep_ca,wa_ca,updated_on,policy_continuation_date,policy_start_date_pol,policy_lastchange_date,premium_wa,premium_other,zipcode_link_pol,zip4_pol,place_residence,birth_date_pol,gender,private_commercial,bonus_malus_percent,other_cover,premium_other_incl_discount,worth_car,brand_pol,builddate_car,weight_car,mileage_car,power_car,fuel_car,chassis,drive,turbo,transmission,zip4_reg,PROVINCE,URB,INCOME,SOCCL_A,SOCCL_B1,SOCCL_B2,SOCCL_C,SOCCL_D,EDU_HIGH,EDU_MID,EDU_LOW,DINK,OWN_HOUSE,AVG_HOUSE,RENT_PRICE,STAGE_OF_LIFE,SINGLE,FAM,FAM_WCHILD,SINGLES_YOUNG,SINGLES_MID,SINGLES_OLD,FAM_CHILD_Y,FAM_CHILD_O,FAM_WCHILD_Y,FAM_WCHILD_MED,FAM_WCHILD_OLD,CIT_HOUSEHOLD,LOAN,SAVINGS,SHOP_ONLINE,CAR,conv,churn
T&B,Personaloffer,2118,,10698,3136,2000-07-01,RENAULT,2019-03-05,,,793.56,2011.0,November,Y,,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,3136.0,South Holland,3.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,5.0,10.0,9.0,4.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,6.0,4.0,4.0,0,-1
other,Incompleterequest,2119,,10658,2511,1987-06-01,BMW,2019-03-05,,,966.48,2013.0,April,,Y,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,2511.0,South Holland,1.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,9.0,11.0,1.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,6.0,6.0,1.0,0,-1
other,Incompleterequest,2120,,10658,2511,1987-06-01,BMW,2019-03-05,,,662.4,2013.0,April,,Y,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,2511.0,South Holland,1.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,9.0,11.0,1.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,6.0,6.0,1.0,0,-1
Insuro,Calculatenewpremium,2121,,10150,1841,1975-12-01,FORD,2019-03-05,,,252.96,2005.0,October,Y,,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,1841.0,North Holland,7.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,,2.0,5.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,5.0,0,-1
Seguros International Ltd.,Calculatenewpremium,2122,,10699,5738,1993-10-01,OPEL,2019-03-05,,,366.24,2000.0,May,Y,,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,5738.0,North Brabant,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,5.0,10.0,,6.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,6.0,2.0,6.0,6.0,5.0,0,-1
Seguros International Ltd.,Incompleterequest,2123,10348.0,10699,5738,1993-10-01,OPEL,2019-03-05,2019-03-05,2019-03-06,366.24,2000.0,May,Y,,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,5738.0,North Brabant,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,5.0,10.0,,6.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,6.0,2.0,6.0,6.0,5.0,0,1
Seguros International Ltd.,Incompleterequest,2124,,10699,5738,1993-10-01,OPEL,2019-03-05,,,366.24,2000.0,May,Y,,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,5738.0,North Brabant,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,5.0,10.0,,6.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,6.0,2.0,6.0,6.0,5.0,0,-1
Seguros International Ltd.,Incompleterequest,2125,10349.0,10699,5738,1993-10-01,OPEL,2019-03-05,2019-03-05,2019-03-06,366.24,2000.0,May,Y,,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,5738.0,North Brabant,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,5.0,10.0,,6.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,6.0,2.0,6.0,6.0,5.0,0,1
Seguros International Ltd.,Incompleterequest,2126,10350.0,10699,5738,1993-10-01,OPEL,2019-03-05,2019-03-05,2019-03-06,366.24,2000.0,May,Y,,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,5738.0,North Brabant,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,5.0,10.0,,6.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,6.0,2.0,6.0,6.0,5.0,0,1
Insuro,Incompleterequest,2127,10351.0,10691,2015,1975-12-01,VOLVO,2019-03-05,2019-03-05,2019-04-01,268.32,1999.0,June,Y,,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,North Holland,2.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,12.0,8.0,9.0,3.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,1.0,6.0,6.0,5.0,0,1
Insuro,Incompleterequest,2128,10352.0,10691,2015,1975-12-01,VOLVO,2019-03-05,2019-03-05,2019-04-01,268.32,1999.0,June,Y,,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,North Holland,2.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,12.0,8.0,9.0,3.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,1.0,6.0,6.0,5.0,0,1
other,Incompleterequest,2129,10353.0,10658,2511,1987-06-01,BMW,2019-03-05,2019-03-05,2019-03-06,662.4,2013.0,April,,Y,,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,2511.0,South Holland,1.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,9.0,11.0,1.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,6.0,6.0,1.0,0,1
Seguros International Ltd.,Incompleterequest,2130,10354.0,10699,5738,1993-10-01,OPEL,2019-03-06,2019-03-06,2019-05-06,366.24,2000.0,May,Y,,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,5738.0,North Brabant,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,5.0,10.0,,6.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,6.0,2.0,6.0,6.0,5.0,0,1
Seguros International Ltd.,Incompleterequest,2131,10355.0,10700,2121,1979-10-01,DAIHATSU,2019-03-06,2019-03-06,2019-03-07,172.44,2005.0,May,Y,,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,2121.0,North Holland,6.0,2.0,4.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,11.0,,9.0,3.0,4.0,5.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,5.0,5.0,4.0,0,1
Seguros International Ltd.,Incompleterequest,2132,,10701,6852,1990-01-01,FORD,2019-03-06,,,201.0,2000.0,October,Y,,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,6852.0,Gelderland,5.0,,4.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,6.0,4.0,9.0,,4.0,2.0,5.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,5.0,6.0,6.0,5.0,0,-1
Seguros International Ltd.,Calculatenewpremium,2133,,10699,5738,1993-10-01,OPEL,2019-03-06,,,366.24,2000.0,May,Y,,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,5738.0,North Brabant,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,5.0,10.0,,6.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,6.0,2.0,6.0,6.0,5.0,0,-1
other,Calculatenewpremium,2134,,10574,5658,1961-12-01,LEXUS,2019-03-06,,2019-03-07,859.08,2011.0,July,,,Y,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,5658.0,North Brabant,2.0,,4.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,6.0,2.0,12.0,,4.0,3.0,5.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,5.0,6.0,6.0,5.0,0,1
Seguros International Ltd.,Calculatenewpremium,2135,,10699,5738,1993-10-01,OPEL,2019-03-06,,,366.24,2000.0,May,Y,,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,5738.0,North Brabant,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,5.0,10.0,,6.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,6.0,2.0,6.0,6.0,5.0,0,-1
other,Incompleterequest,2136,,10658,2511,1987-06-01,BMW,2019-03-06,,,662.4,2013.0,April,,Y,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,2511.0,South Holland,1.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,9.0,11.0,1.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,6.0,6.0,1.0,0,-1
Seguros International Ltd.,Incompleterequest,2137,10356.0,10702,1215,1961-04-01,BMW,2019-03-06,2019-03-06,2019-03-08,577.68,2008.0,May,,,Y,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,1215.0,North Holland,3.0,1.0,5.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,4.0,5.0,11.0,,9.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,0,1
Seguros International Ltd.,Incompleterequest,2138,10357.0,10659,2718,1974-09-01,RENAULT,2019-03-06,2019-03-06,2019-04-01,526.92,2016.0,March,,,Y,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,2718.0,South Holland,2.0,2.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,1.0,6.0,5.0,8.0,,6.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,4.0,5.0,2.0,5.0,6.0,5.0,0,1
Seguros International Ltd.,Calculatenewpremium,2139,,10696,9468,1948-05-01,FORD,2019-03-06,,,607.08,2015.0,April,,,Y,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,9468.0,Drenthe,7.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,6.0,5.0,10.0,,6.0,2.0,5.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,5.0,1.0,6.0,6.0,5.0,0,-1
Seguros International Ltd.,Incompleterequest,2140,,10703,8262,1994-07-01,VOLKSWAGEN,2019-03-06,,,325.2,2006.0,April,,Y,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,8262.0,Overijssel,4.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,5.0,1.0,1.0,7.0,4.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,3.0,1.0,0,-1
Seguros International Ltd.,Incompleterequest,2141,,10703,8262,1994-07-01,VOLKSWAGEN,2019-03-06,,,446.16,2006.0,April,Y,,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,8262.0,Overijssel,4.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,5.0,1.0,1.0,7.0,4.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,3.0,1.0,0,-1
Seguros International Ltd.,Calculatenewpremium,2142,,10000,2132,1985-01-01,SUZUKI,2019-03-06,,,105.84,2010.0,March,Y,,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,2132.0,North Holland,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1
Seguros International Ltd.,Calculatenewpremium,2143,,10000,2132,1991-01-01,VOLVO,2019-03-06,,,350.52,2016.0,June,Y,,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,2132.0,North Holland,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1
other,Policycreated,2144,10358.0,10704,3961,1953-12-01,PEUGEOT,2019-03-06,2019-03-06,2019-03-07,361.56,2014.0,August,,Y,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,3961.0,Utrecht,5.0,6.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,9.0,2.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,6.0,6.0,5.0,1,1
other,Policycreated,2145,10359.0,10704,3961,1953-12-01,KIA,2019-03-06,2019-03-06,2019-03-07,319.56,2014.0,September,,,Y,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,3961.0,Utrecht,5.0,6.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,9.0,2.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,6.0,6.0,5.0,1,1
other,Policycreated,2146,10360.0,10705,1312,1957-09-01,HYUNDAI,2019-03-06,2019-03-06,2019-03-07,227.76,2000.0,January,Y,,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,1312.0,Flevoland,2.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,5.0,11.0,3.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,1,1
Insuro,Policycreated,2147,10361.0,10706,2317,1993-05-01,KIA,2019-03-06,2019-03-06,2019-03-07,1240.68,2013.0,September,,,Y,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,2317.0,South Holland,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,10.0,2.0,5.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,1,1
Seguros International Ltd.,Policycreated,2148,10362.0,10699,5738,1993-10-01,OPEL,2019-03-06,2019-03-06,2019-03-07,366.24,2000.0,May,Y,,,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,5738.0,North Brabant,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,5.0,10.0,,6.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,6.0,2.0,6.0,6.0,5.0,1,1
Seguros International Ltd.,Policycreated,2149,10363.0,10707,4007,1959-10-01,SUZUKI,2019-03-06,2019-03-06,2019-03-12,367.56,2017.0,June,,,Y,2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,4007.0,Gelderland,4.0,2.0,5.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,6.0,5.0,9.0,,6.0,1.0,5.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,3.0,5.0,1.0,6.0,6.0,5.0,1,1
Insuro,Incompleterequest,2150,,10093,6561,1974-02-01,VOLKSWAGEN,2019-03-06,,,530.04,2009.0,November,,,Y,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,6561.0,Gelderland,5.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,6.0,7.0,7.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,0,-1
T&B,Personaloffer,2151,,10708,2993,1967-04-01,VOLVO,2019-03-07,,,1068.12,2014.0,May,,,Y,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,2993.0,South Holland,4.0,6.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,7.0,11.0,6.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,5.0,3.0,4.0,5.0,4.0,0,-1
other,Policycreated,2152,10364.0,10658,2511,1987-06-01,BMW,2019-03-07,2019-03-07,2019-03-08,662.4,2013.0,April,,Y,,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,2511.0,South Holland,1.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,9.0,11.0,1.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,6.0,6.0,1.0,1,1
T&B,Personaloffer,1640,,10709,3245,1966-04-01,RENAULT,2019-03-07,,,174.12,1999.0,May,Y,,,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,3245.0,South Holland,6.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,2.0,5.0,4.0,6.0,7.0,9.0,3.0,4.0,5.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,0,-1
other,Calculatenewpremium,2153,,10710,3621,1957-08-01,VOLKSWAGEN,2019-03-07,,,717.36,2015.0,March,,,Y,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,3621.0,Utrecht,5.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,,3.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,0,-1
other,Calculatenewpremium,2154,,10711,3607,1957-08-01,SEAT,2019-03-07,,,490.92,2013.0,January,,,Y,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,3607.0,Utrecht,4.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0,7.0,11.0,3.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,5.0,4.0,0,-1
other,Incompleterequest,2155,,10712,5046,1974-05-01,PEUGEOT,2019-03-07,,,247.08,2001.0,April,Y,,,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,5046.0,North Brabant,2.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,5.0,4.0,7.0,8.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,5.0,6.0,4.0,0,-1
Insuro,Policycreated,2156,10365.0,10691,2015,1975-12-01,VOLVO,2019-03-07,2019-03-07,2019-04-01,268.32,1999.0,June,Y,,,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,North Holland,2.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,12.0,8.0,9.0,3.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,1.0,6.0,6.0,5.0,1,1
other,Calculatenewpremium,2157,,10713,2343,1969-12-01,VOLVO,2019-03-07,,,856.8,2013.0,October,,Y,,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,2343.0,South Holland,4.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,5.0,11.0,,6.0,3.0,5.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,4.0,6.0,5.0,0,-1
Insuro,Calculatenewpremium,2158,,10714,2661,1997-11-01,KIA,2019-03-07,,,0.0,2018.0,June,N,N,N,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,2661.0,South Holland,5.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,5.0,6.0,9.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,0,-1
Insuro,Tailoredofferrejected,2159,,10715,1901,1995-07-01,VOLKSWAGEN,2019-03-07,,,641.88,1999.0,July,Y,,,2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,1901.0,North Holland,4.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,4.0,10.0,,1.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,5.0,6.0,2.0,0,-1
Insuro,Incompleterequest,2160,,10093,6561,1974-02-01,VOLKSWAGEN,2019-03-07,,,530.04,2009.0,November,,,Y,2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,6561.0,Gelderland,5.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,6.0,7.0,7.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,0,-1
Seguros International Ltd.,Policycreated,2161,10366.0,10716,2104,1977-11-01,NISSAN,2019-03-07,2019-03-07,2019-06-07,236.04,2010.0,April,Y,,,2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,2104.0,North Holland,4.0,6.0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,5.0,11.0,,9.0,1.0,3.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,2.0,6.0,3.0,5.0,1,1
other,Incompleterequest,2162,,10717,3543,1986-10-01,TOYOTA,2019-03-08,,,1089.6,2015.0,May,,,Y,2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,3543.0,Utrecht,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,5.0,4.0,9.0,,4.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,6.0,4.0,0,-1
Seguros International Ltd.,Incompleterequest,2163,,10718,8231,1978-04-01,RENAULT,2019-03-08,,,604.8,2005.0,April,,Y,,2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,8231.0,Flevoland,3.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,5.0,7.0,,9.0,2.0,4.0,5.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,2.0,5.0,5.0,5.0,0,-1
other,Incompleterequest,2164,,10719,3043,1983-07-01,RENAULT,2019-03-08,,,841.68,2013.0,December,,,Y,2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,3043.0,South Holland,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,5.0,,8.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,5.0,6.0,3.0,0,-1
other,Incompleterequest,2165,,10719,3043,1983-07-01,RENAULT,2019-03-08,,,942.48,2013.0,December,,,Y,2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,3043.0,South Holland,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,5.0,,8.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,5.0,6.0,3.0,0,-1
other,Incompleterequest,2166,,10720,1019,1965-04-01,RENAULT,2019-03-08,,,894.24,2014.0,November,,Y,,2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,1019.0,North Holland,1.0,6.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,11.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,6.0,6.0,1.0,0,-1
other,Calculatenewpremium,2167,,10717,3543,1989-01-01,TOYOTA,2019-03-08,,,1161.84,2015.0,November,,,Y,2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,3543.0,Utrecht,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,5.0,4.0,9.0,,4.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,6.0,4.0,0,-1
other,Incompleterequest,2168,,10721,2992,1968-12-01,BMW,2019-03-09,,,1235.64,2019.0,March,,,Y,2019-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,2992.0,South Holland,4.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,5.0,10.0,,9.0,2.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,5.0,4.0,4.0,0,-1
other,Policycreated,2169,10367.0,10722,2611,1988-09-01,RENAULT,2019-03-09,2019-03-09,2019-03-10,1037.4,2016.0,November,,Y,,2019-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,2611.0,South Holland,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,4.0,2.0,7.0,6.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,6.0,6.0,3.0,1,1
other,Policycreated,2170,10368.0,10140,3972,1984-05-01,TOYOTA,2019-03-10,2019-03-15,2019-03-16,652.92,2013.0,December,,,Y,2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,3972.0,Utrecht,5.0,,3.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,9.0,,2.0,5.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,6.0,6.0,2.0,1,1
Insuro,Incompleterequest,2171,,10723,7523,1975-05-01,CITROEN,2019-03-10,,,428.64,2015.0,March,,,Y,2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,7523.0,Overijssel,2.0,2.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,4.0,2.0,9.0,,1.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,6.0,6.0,2.0,0,-1
Insuro,Calculatenewpremium,2172,,10724,1313,1989-08-01,OPEL,2019-03-11,,,489.72,2000.0,December,,,Y,2019-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,1313.0,Flevoland,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,5.0,4.0,6.0,9.0,4.0,3.0,5.0,4.0,1.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,5.0,4.0,3.0,5.0,3.0,0,-1
Insuro,Incompleterequest,2173,,10725,3543,1973-05-01,MERCEDES-BENZ,2019-03-11,,,1350.12,2010.0,March,,,Y,2019-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,3543.0,Utrecht,1.0,,3.0,3.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,6.0,,1.0,5.0,4.0,2.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0,6.0,1.0,0,-1
